accuracy,precision,recall,f1-score,auc,mcc,hospital,model,method,n_calib,n_test,tag
0.7644341801385681,0.5333333333333333,0.7787610619469026,0.6330935251798561,0.851299778761062,0.4866278251344065,H25,catboost,raw,30,433,
0.7461729812476081,0.5881877022653722,0.659510130027215,0.6218104062722737,0.8006700378758462,0.4333352593893871,H1,catboost,raw,30,10452,
0.7541436464088398,0.6666666666666666,0.7724137931034483,0.7156549520766773,0.85431431749563,0.5053781902680765,H27,catboost,raw,30,362,
0.7669826224328594,0.9143876337693222,0.7752016129032258,0.8390616475722859,0.8242730162467624,0.4468599308028786,H14,catboost,raw,30,1266,
0.7560975609756098,0.7878787878787878,0.7289719626168224,0.7572815533980582,0.8285332824718672,0.5144900278709341,H29,catboost,raw,30,205,
0.8041692987997473,0.5813953488372093,0.4874651810584958,0.5303030303030303,0.7927527673093379,0.4103308117622933,H4,catboost,raw,30,3166,
0.8174991838067255,0.6787096774193548,0.6291866028708134,0.6530105524518932,0.8533058827826393,0.5301411291264934,H7,catboost,raw,30,3063,
0.750524109014675,0.2949790794979079,0.6394557823129252,0.4037222619899785,0.7858684306480817,0.304751296130717,H3,catboost,raw,30,3339,
0.7683080808080808,0.5883495145631068,0.6615720524017468,0.6228160328879754,0.8195606816260363,0.4580800223418237,H12,catboost,raw,30,1584,
0.6560108059432688,0.8933333333333333,0.6276346604215457,0.7372764786795049,0.7697921945117805,0.3197650958730952,H9,catboost,raw,30,2221,
0.6856060606060606,0.5916666666666667,0.6761904761904762,0.6311111111111111,0.752261156034741,0.3617313309007337,H28,catboost,raw,30,264,
0.7841530054644809,0.6241299303944315,0.7819767441860465,0.6941935483870968,0.8567215162543951,0.5386917465862895,H17,catboost,raw,30,1098,
0.7543581616481775,0.6086956521739131,0.5743589743589743,0.5910290237467019,0.7812161844271936,0.4160601978622508,H21,catboost,raw,30,631,
0.6857142857142857,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7639583333333333,0.3583333333333333,H30,catboost,raw,30,140,
0.7404900064474532,0.6519052523171988,0.5754545454545454,0.6112988894253983,0.7810008173644537,0.4194878454552848,H5,catboost,raw,30,3102,
0.4533132530120481,0.8913043478260869,0.3234714003944773,0.4746743849493487,0.7122074397919572,0.1861503770920973,H20,catboost,raw,30,664,
0.583116036505867,0.8850574712643678,0.3950743971267316,0.5462930117062789,0.7419831255550955,0.326479234735904,H6,catboost,raw,30,3068,
